titulo,tipo,artista,fecha-lanzamiento,generos
Que bonito,Single,Bomba Estéreo,2014-04-01,"electronic, latin, cumbia"
¿Sabe qué pasa?,EP,Candeleros,2018-09-21,"salsa, cumbia, champeta"
La pastorcita / Caminito serrano,Single,Los Destellos,1974,"rock, latin, cumbia"
Tío Guachupesito,Single,Canalón de Timbiquí,2019-12-21,"electronic, dub, cumbia"
Albacitos De Oro,Album,Polibio Mayorga,1968,"electronic, latin, cumbia"
Colombia,Album,Various Artists,1994,"latin, cumbia, vallenato"
La medallita / Carola,Single,Los Continentales,,"rock, latin, cumbia"
¡Ya no más!,Album,Brain Damage,2018-10-19,"reggae, dub, cumbia"
Live in Dublin,Album,Bomba Estéreo,2018-07-15,"electronic, latin, cumbia"
Sundance EP,EP,Deela,2018-07-27,"electronic, reggaeton, cumbia"
Padremontes,Single,Frente Cumbiero,2018-07-01,"dub, latin, cumbia"
CUMBIA GOT DUB,Single,Captain Cumbia,2019-11-29,"latin, western, cumbia"
MASHUP-MAN CUMBIERO,Album,Captain Cumbia,2014-05-01,"latin, western, cumbia"
Vol. 03: Soy pescador,Album,Agua Marina,1988,"salsa, latin, cumbia"
GMC - L.E.D.A. [DANZA05],EP,GMC,2020-09-02,"electronic, folk, cumbia"
Barrio Skank,Single,Deela,2018-09-13,"electronic, reggaeton, cumbia"
Deela Remixes - Pt1,EP,Deela,2018-08-30,"electronic, reggaeton, cumbia"
Rumba Chonta - DEELA Edits,Single,Deela,2018-10-19,"electronic, reggaeton, cumbia"
Un Helado de Portugal,EP,Sexteto Tabalá,2018-11-24,"latin, afrobeat, cumbia"
Fundo de Marê Palinha,EP,Voz di Sanicolau,2020-07-10,"afrobeat, cumbia, funaná"
16 éxitos con los reyes del ritmo,Album,Los Xochimilcas,1988,"latin, cumbia, danzón"
Material de difusión,Album,Los Pibes Chorros,2009,"latin, cumbia villera"
"Perdonalos, no saben lo que hacen",Album,Los Pibes Chorros,2007,"latin, cumbia villera"
Enamorado de un fantasma,Album,Liberación,1995-11-29,"latin, cumbia, tejano"
Puta realidad,Album,Coca Candy,,"dub, latin, cumbia"
¡Lo Juimo!,Album,DJ Juan Data,2012-03-05,"reggae, latin, cumbia"
Teléfono a larga distancia,Album,Los Xochimilcas,1974,"latin, cumbia, danzón"
Salsa y son caribe,Album,The Latin Brothers,1988,"salsa, latin, cumbia"
Impredecible,Album,Bareto,2015-11-22,"reggae, latin, cumbia"
Ritmos espaciales,Album,Los Siderals,1969,"rock, latin, cumbia"
Skulltura Pt2,Album,Deela,2017-03-21,"electronic, reggaeton, cumbia"
Legend of Funaná (The Forbidden Music of the Cape Verde Islands),Album,Bitori,2016-09-12,"afrobeat, cumbia, funaná"
Sentimiento electrónico,Album,Sonido San Francisco,2014-03-27,"electronica, tropicália, cumbia"
Future Sounds of Buenos Aires,Album,Various Artists,2012,"electronic, latin, cumbia"
Pecados tropicales,Album,Kumbia Queers,2014-07-11,"punk rock, cumbia"
Independencia Sessions,Album,Sonido San Francisco,2010-01-11,"rock, electronica, cumbia"
Pedro Laza y Su Banda,Album,Pedro Laza y su Banda,,"latin, cumbia, porro"
"Satingarona, Pt.1",Album,The Bongo Hop,2016-11-07,"salsa, latin, cumbia"
